epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5523,0.84565,3.17234,1.27897,0.00309,0.89899,0.50547,0.4199,0.45246,3.28258,0.94799,0.0001,0.0001,0.0001
2,72.5589,0.6676,2.13857,1.0421,0.96374,0.27273,0.69325,0.56677,0.57994,2.80822,0.94044,0.000217822,0.000217822,0.000217822
3,104.779,0.65306,1.49634,1.01557,1,0.36969,0.85544,0.71741,0.57381,2.76118,0.93234,0.000333268,0.000333268,0.000333268
4,136.747,0.63014,1.35309,0.96202,1,0.31148,0.90266,0.71863,0.64609,2.78241,0.94881,0.000446338,0.000446338,0.000446338
5,169.483,0.63381,1.26589,0.95704,1,0.48593,0.89235,0.71253,0.67303,2.72181,0.94675,0.000557032,0.000557032,0.000557032
6,201.394,0.62917,1.21809,0.97545,1,0.46816,0.88164,0.75849,0.6285,2.61175,0.94735,0.00066535,0.00066535,0.00066535
7,234.678,0.66933,1.12307,0.99459,0.92888,0.52772,0.7907,0.65862,0.65876,2.52356,0.9885,0.000771292,0.000771292,0.000771292
8,267.732,0.6783,1.16117,1.00424,1,0.65159,0.8581,0.72312,0.67924,2.33592,0.99294,0.000874858,0.000874858,0.000874858
9,299.436,0.70898,1.10528,1.02285,0.95757,0.68397,0.77678,0.62555,0.75373,2.09101,1.08974,0.000976048,0.000976048,0.000976048
10,331.898,0.6921,1.07789,1.01275,0.95799,0.69107,0.82874,0.68208,0.72348,2.10498,1.02914,0.00107486,0.00107486,0.00107486
11,364.553,0.66673,1.048,0.99069,0.86283,0.75758,0.8833,0.72933,0.65464,2.13981,0.9766,0.0011713,0.0011713,0.0011713
12,397.014,0.70014,1.13501,1.03264,0.74037,0.75758,0.78261,0.55791,0.93937,2.25158,1.27239,0.00126536,0.00126536,0.00126536
13,429.023,0.71386,1.10895,1.03196,0.8565,0.79798,0.8717,0.65079,0.83144,1.89994,1.1608,0.00135705,0.00135705,0.00135705
14,460.474,0.6855,1.08949,1.01721,0.81696,0.73737,0.8055,0.68497,0.67859,1.82457,0.9958,0.00144636,0.00144636,0.00144636
15,492.115,0.66086,1.06854,0.99609,0.80709,0.74747,0.82184,0.68778,0.6779,1.64761,0.99913,0.00153329,0.00153329,0.00153329
16,524.788,0.6355,1.00473,0.99268,0.78103,0.82868,0.89452,0.75789,0.62281,1.56741,0.96147,0.00161785,0.00161785,0.00161785
17,556.343,0.67269,0.94419,0.99087,0.66414,0.79898,0.81766,0.66326,0.65842,1.89972,1.00376,0.0016832,0.0016832,0.0016832
18,588.286,0.62775,0.90463,0.98144,0.90547,0.86869,0.9189,0.7171,0.70681,1.61924,1.05332,0.0016634,0.0016634,0.0016634
19,620.09,0.64899,0.88562,1.00437,0.80354,0.78499,0.85831,0.67142,0.68977,1.82809,1.06982,0.0016436,0.0016436,0.0016436
20,651.894,0.58661,0.87403,0.97213,0.85149,0.86869,0.90922,0.74597,0.67681,1.40158,1.03104,0.0016238,0.0016238,0.0016238
21,684.26,0.61067,0.82188,0.96898,0.91053,0.84848,0.89979,0.72328,0.7578,1.34093,1.125,0.001604,0.001604,0.001604
22,716.729,0.61009,0.72481,0.96077,0.90805,0.85859,0.94078,0.77599,0.66188,1.29252,0.98647,0.0015842,0.0015842,0.0015842
23,749.311,0.60183,0.76569,0.96678,0.87768,0.81818,0.91799,0.75329,0.66116,1.29634,0.99953,0.0015644,0.0015644,0.0015644
24,781.651,0.61996,0.764,0.97488,0.90768,0.85859,0.93575,0.79731,0.64853,1.22191,0.96414,0.0015446,0.0015446,0.0015446
25,813.619,0.60642,0.78664,0.97981,0.90307,0.92929,0.96021,0.83009,0.57471,1.13681,0.92578,0.0015248,0.0015248,0.0015248
26,845.261,0.59507,0.71558,0.95389,0.9377,0.89899,0.96311,0.79708,0.60622,1.17014,0.93335,0.001505,0.001505,0.001505
27,876.547,0.59339,0.73922,0.99174,0.92986,0.93741,0.96495,0.83129,0.58325,1.16313,0.90518,0.0014852,0.0014852,0.0014852
28,908.52,0.5814,0.71171,0.95836,0.91993,0.89899,0.96332,0.83162,0.5568,1.07722,0.89563,0.0014654,0.0014654,0.0014654
29,939.914,0.67629,0.7489,0.96571,0.95753,0.91919,0.96917,0.84598,0.53573,1.07367,0.90443,0.0014456,0.0014456,0.0014456
30,971.395,0.61794,0.71283,0.97155,0.97389,0.9899,0.99296,0.8895,0.48463,0.90884,0.88324,0.0014258,0.0014258,0.0014258
31,1002.59,0.5679,0.70233,0.94339,0.9212,0.9899,0.98889,0.87207,0.48544,0.86805,0.87625,0.001406,0.001406,0.001406
32,1034.3,0.62633,0.73736,0.96875,0.97916,0.94905,0.9883,0.87406,0.48942,0.95897,0.87528,0.0013862,0.0013862,0.0013862
33,1066.95,0.58295,0.70138,0.99816,0.97925,0.95327,0.98899,0.88589,0.48364,0.96836,0.86981,0.0013664,0.0013664,0.0013664
34,1099.03,0.58373,0.67626,0.99321,0.98933,0.94949,0.98619,0.85807,0.48871,0.81612,0.88824,0.0013466,0.0013466,0.0013466
35,1130.37,0.64051,0.68293,0.94364,0.96569,0.9596,0.98391,0.87664,0.47871,0.82197,0.89755,0.0013268,0.0013268,0.0013268
36,1161.95,0.60551,0.70679,0.99874,0.9572,0.9798,0.9804,0.8763,0.48176,0.77406,0.87283,0.001307,0.001307,0.001307
37,1193.47,0.49876,0.60145,0.9237,0.94521,0.9697,0.97522,0.86735,0.47946,0.76898,0.87161,0.0012872,0.0012872,0.0012872
38,1225.73,0.53946,0.60918,0.92994,0.95731,0.93939,0.98287,0.85838,0.48659,0.84266,0.88559,0.0012674,0.0012674,0.0012674
39,1258.43,0.51052,0.58054,0.92242,0.95929,0.952,0.98209,0.84828,0.48633,0.82174,0.87991,0.0012476,0.0012476,0.0012476
40,1290.3,0.53268,0.57061,0.97256,0.99578,0.94949,0.98885,0.87358,0.46196,0.74801,0.85875,0.0012278,0.0012278,0.0012278
41,1321.97,0.52538,0.58241,0.94386,0.99793,0.9596,0.98837,0.87557,0.45897,0.71632,0.85662,0.001208,0.001208,0.001208
42,1353.57,0.5347,0.58937,0.94494,0.98772,0.9697,0.98827,0.89089,0.44332,0.66443,0.84844,0.0011882,0.0011882,0.0011882
43,1385.81,0.53963,0.58328,0.94989,0.99493,0.9697,0.99222,0.89634,0.4407,0.63336,0.84274,0.0011684,0.0011684,0.0011684
44,1417.92,0.51156,0.55546,0.9094,0.97812,0.9798,0.99392,0.88819,0.46571,0.59154,0.85335,0.0011486,0.0011486,0.0011486
45,1449.74,0.5277,0.54136,0.93719,1,0.97571,0.98464,0.88335,0.47128,0.59396,0.85794,0.0011288,0.0011288,0.0011288
46,1481,0.56242,0.55262,0.95416,0.99498,0.9899,0.98504,0.89666,0.44026,0.57072,0.84744,0.001109,0.001109,0.001109
47,1512.32,0.51743,0.54027,0.94938,0.99891,0.9899,0.98505,0.90623,0.43357,0.56209,0.84721,0.0010892,0.0010892,0.0010892
48,1543.08,0.53494,0.56988,0.92002,0.97724,0.9798,0.99362,0.90625,0.43866,0.54817,0.84286,0.0010694,0.0010694,0.0010694
49,1573.76,0.48269,0.52142,0.92832,0.98988,0.98796,0.994,0.91377,0.42868,0.55119,0.8385,0.0010496,0.0010496,0.0010496
50,1604.74,0.4667,0.4964,0.89875,0.98865,1,0.9948,0.92456,0.3979,0.539,0.83442,0.0010298,0.0010298,0.0010298
51,1635.78,0.44777,0.48834,0.89193,0.98998,0.99843,0.9947,0.92504,0.39951,0.52587,0.83174,0.00101,0.00101,0.00101
52,1667.05,0.49791,0.51904,0.94668,0.97938,0.9899,0.99413,0.92794,0.38421,0.50765,0.82376,0.0009902,0.0009902,0.0009902
53,1698.49,0.46246,0.47817,0.90904,0.97848,0.9899,0.99332,0.91585,0.40222,0.51199,0.83167,0.0009704,0.0009704,0.0009704
54,1730.47,0.49167,0.4871,0.94238,1,0.99809,0.995,0.93001,0.40096,0.48333,0.8297,0.0009506,0.0009506,0.0009506
55,1761.65,0.4416,0.48044,0.91616,0.99853,1,0.995,0.92693,0.38748,0.47118,0.82365,0.0009308,0.0009308,0.0009308
56,1792.47,0.44306,0.46688,0.90823,0.98868,1,0.9947,0.91859,0.37792,0.46821,0.82913,0.000911,0.000911,0.000911
57,1823.35,0.4256,0.44178,0.91065,0.98894,1,0.9945,0.91738,0.38141,0.46446,0.83431,0.0008912,0.0008912,0.0008912
58,1854.43,0.46671,0.4749,0.91215,0.99834,1,0.995,0.91336,0.39246,0.45545,0.83816,0.0008714,0.0008714,0.0008714
59,1885.28,0.46287,0.44727,0.91675,1,0.9995,0.995,0.91903,0.38987,0.46365,0.83337,0.0008516,0.0008516,0.0008516
